Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths_Rate,Recovered_Rate,Deaths / 100 Recovered,No. of countries,Recovery Rate,Fatality Rate
555,17,28,510,0,0,0,3.06,5.05,60.71,6,0.05045045045045045,0.03063063063063063
654,18,30,606,99,1,2,2.75,4.59,60.0,8,0.045871559633027525,0.027522935779816515
941,26,36,879,287,8,6,2.76,3.83,72.22,9,0.03825717321997875,0.02763018065887354
1434,42,39,1353,493,16,3,2.93,2.72,107.69,11,0.027196652719665274,0.029288702928870293
2118,56,52,2010,684,14,13,2.64,2.46,107.69,13,0.024551463644948063,0.02644003777148253
2927,82,61,2784,809,26,9,2.8,2.08,134.43,16,0.020840450973693202,0.02801503245644004
5578,131,107,5340,2651,49,46,2.35,1.92,122.43,16,0.01918250268913589,0.023485120114736465
6166,133,125,5908,588,2,18,2.16,2.03,106.4,18,0.02027246188777165,0.021569899448589037
8234,171,141,7922,2068,38,16,2.08,1.71,121.28,20,0.01712411950449356,0.020767549186300704
9927,213,219,9495,1693,42,78,2.15,2.21,97.26,24,0.02206104563312179,0.021456633423995165
12038,259,281,11498,2111,46,62,2.15,2.33,92.17,25,0.023342747964778202,0.021515201860774213
16787,362,459,15966,4749,103,178,2.16,2.73,78.87,25,0.027342586525287423,0.021564305712753917
19887,426,604,18857,3100,64,145,2.14,3.04,70.53,25,0.030371599537386232,0.021421028812792276
23898,492,821,22585,4011,66,217,2.06,3.44,59.93,26,0.03435433927525316,0.020587496861662065
27643,564,1071,26008,3745,72,250,2.04,3.87,52.66,26,0.038743985819194734,0.02040299533335745
30802,634,1418,28750,3159,70,347,2.06,4.6,44.71,26,0.04603597169014999,0.020583079020842804
34334,719,1903,31712,3532,85,485,2.09,5.54,37.78,26,0.055426108230908135,0.02094134094483602
37068,806,2470,33792,2734,87,567,2.17,6.66,32.63,26,0.06663429373044136,0.021743822164670336
40095,906,3057,36132,3027,100,587,2.26,7.62,29.64,26,0.07624392068836514,0.022596333707444818
42633,1013,3714,37906,2538,107,657,2.38,8.71,27.28,26,0.08711561466469636,0.0237609363638496
44675,1113,4417,39145,2042,100,703,2.49,9.89,25.2,26,0.09886961387800783,0.024913262451035256
46561,1118,4849,40594,1886,5,432,2.4,10.41,23.06,26,0.10414295225618006,0.02401151178024527
60206,1371,5930,52905,13645,253,1081,2.28,9.85,23.12,26,0.09849516659469155,0.022771816762448924
66690,1523,7613,57554,6484,152,1683,2.28,11.42,20.01,27,0.1141550457339931,0.022837007047533362
68765,1666,8902,58197,2075,143,1289,2.42,12.95,18.71,27,0.12945539155093433,0.0242274412855377
70879,1770,10319,58790,2114,104,1417,2.5,14.56,17.15,27,0.14558613975930812,0.024972135611394067
72815,1868,11951,58996,1936,98,1632,2.57,16.41,15.63,27,0.164128270273982,0.02565405479640184
74609,2008,13693,58908,1794,140,1742,2.69,18.35,14.66,27,0.1835301371148253,0.026913643126164403
75030,2123,15394,57513,421,115,1701,2.83,20.52,13.79,28,0.20517126482740236,0.028295348527255765
75577,2246,17369,55962,547,123,1975,2.97,22.98,12.93,28,0.22981859560448284,0.02971803591039602
76206,2250,17966,55990,629,4,597,2.95,23.58,12.52,30,0.23575571477311497,0.02952523423352492
77967,2457,21849,53661,1761,207,3883,3.15,28.02,11.25,30,0.2802339451306322,0.03151333256377698
78290,2467,22304,53519,323,10,455,3.15,28.49,11.06,31,0.28488951334780943,0.03151104866521906
78854,2627,24047,52180,564,160,1743,3.33,30.5,10.92,36,0.3049559946229741,0.033314733558221524
